original_title,budget,release_date,revenue,runtime,vote_average,vote_count,cast,director,Action,Adventure,Fantasy,Science_Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV,overview
Listening,38341022.03780454,2015-09-11,120640826.67822856,100.0,5.5,31,"['Thomas', 'Stroppel', 'Artie', 'Ahr', 'Amber', 'Marie', 'Bollinger', 'Christine', 'Haeberman', 'Steve', 'Hanks']",Khalil Sullins,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['for', 'year', 'we', 'have', 'tried', 'to', 'harness', 'the', 'power', 'of', 'the', 'human', 'mind', 'and', 'failed', 'now', 'one', 'breakthrough', 'will', 'change', 'everything', 'beyond', 'technology', 'beyond', 'humanity', 'beyond', 'control', 'david', 'ryan', 'and', 'jordan', 'hope', 'the', 'telepathy', 'invention', 'will', 'solve', 'all', 'their', 'problem', 'but', 'the', 'bleeding', 'edge', 'technology', 'open', 'a', 'pandora', 's', 'box', 'of', 'new', 'danger', 'a', 'the', 'team', 'discovers', 'that', 'when', 'they', 'open', 'their', 'mind', 'there', 'is', 'nowhere', 'to', 'hide', 'their', 'thought']"
Felicia's Journey,38341022.03780454,1999-11-24,120640826.67822856,116.0,6.6,23,"['Bob', 'Hoskins', 'Elaine', 'Cassidy', 'Arsinuee', 'Khanjian', 'Peter', 'McDonald', 'Gerard', 'McSorley']",Atom Egoyan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'solitary', 'middle', 'aged', 'bachelor', 'and', 'a', 'naive', 'irish', 'teenager', 'transform', 'one', 'another', 's', 'life', 'to', 'arrive', 'at', 'a', 'place', 'of', 'recognition', 'redemption', 'and', 'wisdom', 'in', 'atom', 'egoyan', 's', 'adaptation', 'of', 'william', 'trevor', 's', 'celebrated', '1994', 'novel', 'seventeen', 'and', 'pregnant', 'felicia', 'travel', 'to', 'england', 'in', 'search', 'of', 'her', 'lover', 'and', 'is', 'found', 'instead', 'by', 'joseph', 'ambrose', 'hilditch', 'a', 'helpful', 'catering', 'manager', 'whose', 'kindness', 'mask', 'a', 'serial', 'killer', 'hilditch', 'ha', 'murdered', 'several', 'young', 'woman', 'but', 'he', 'ha', 'no', 'conscious', 'awareness', 'of', 'the', 'crime', 'like', 'felicia', 'he', 'doesn', 't', 'see', 'his', 'true', 'self', 'felicia', 's', 'journey', 'is', 'a', 'story', 'of', 'innocence', 'lost', 'and', 'regained', 'felicia', 'awakens', 'to', 'the', 'world', 's', 'danger', 'and', 'duplicity', 'and', 'hilditch', 'who', 'grew', 'up', 'lonely', 'and', 'unloved', 'come', 'to', 'realize', 'what', 'wa', 'taken', 'from', 'him', 'and', 'what', 'he', 'himself', 'ha', 'taken']"
Things to Do in Denver When You're Dead,8000000.0,1995-12-01,529766.0,116.0,6.7,85,"['Andy', 'Garcueda', 'Christopher', 'Lloyd', 'William', 'Forsythe', 'Bill', 'Nunn', 'Treat', 'Williams']",Gary Fleder,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'mafia', 'film', 'in', 'tarantino', 'style', 'with', 'a', 'star', 'studded', 'cast', 'jimmy', 's', 'the', 'saint', 'gangster', 'career', 'ha', 'finally', 'ended', 'yet', 'now', 'he', 'find', 'him', 'self', 'doing', 'favor', 'for', 'a', 'wise', 'godfather', 'known', 'a', 'the', 'man', 'with', 'the', 'plan']"
Buffalo Soldiers,15000000.0,2001-09-08,120640826.67822856,98.0,6.5,93,"['Joaquin', 'Phoenix', 'Ed', 'Harris', 'Scott', 'Glenn', 'Anna', 'Paquin', 'Elizabeth', 'McGovern']",Gregor Jordan,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"['set', 'just', 'before', 'the', 'fall', 'of', 'the', 'berlin', 'wall', 'in', '1989', 'sgt', 'ray', 'elwood', 'is', 'an', 'american', 'soldier', 'stationed', 'at', 'a', 'german', 'army', 'camp', 'a', 'soldier', 'because', 'a', 'judge', 'gave', 'him', 'a', 'choice', 'between', 'the', 'army', 'and', 'jail', 'ray', 'spends', 'much', 'of', 'his', 'free', 'time', 'cooking', 'cocaine', 'for', 'the', 'mp', 'when', 'a', 'soldier', 'dy', 'and', 'a', 'toxicology', 'screen', 'show', 'an', 'alarming', 'level', 'of', 'illegal', 'narcotic', 'someone', 'is', 'sent', 'in', 'to', 'investigate']"
Centurion,12000000.0,2010-02-15,6814789.0,97.0,5.9,386,"['Michael', 'Fassbender', 'Olga', 'Kurylenko', 'David', 'Morrissey', 'Liam', 'Cunningham', 'Dominic', 'West']",Neil Marshall,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['britain', 'a', 'd', '117', 'quintus', 'dia', 'the', 'sole', 'survivor', 'of', 'a', 'pictish', 'raid', 'on', 'a', 'roman', 'frontier', 'fort', 'march', 'north', 'with', 'general', 'virilus', 'legendary', 'ninth', 'legion', 'under', 'order', 'to', 'wipe', 'the', 'picts', 'from', 'the', 'face', 'of', 'the', 'earth', 'and', 'destroy', 'their', 'leader', 'gorlacon']"
Silent Trigger,15000000.0,1996-06-26,76382.0,93.0,5.0,22,"['Dolph', 'Lundgren', 'Gina', 'Bellman', 'Conrad', 'Dunn', 'Christopher', 'Heyerdahl']",Russell Mulcahy,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['waxman', 'is', 'a', 'former', 'special', 'force', 'soldier', 'who', 'is', 'now', 'working', 'a', 'a', 'heavily', 'armed', 'assassin', 'for', 'a', 'top', 'secret', 'government', 'agency', 'when', 'a', 'covert', 'mission', 'go', 'terribly', 'wrong', 'waxman', 'and', 'fellow', 'assassin', 'clegg', 'become', 'that', 'agency', 's', 'prime', 'target']"
The Midnight Meat Train,15000000.0,2008-08-07,3533227.0,98.0,6.0,290,"['Bradley', 'Cooper', 'Vinnie', 'Jones', 'Brooke', 'Shields', 'Leslie', 'Bibb', 'Roger', 'Bart']",Ry\u00fbhei Kitamura,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"['the', 'photographer', 'leon', 'life', 'with', 'his', 'girlfriend', 'and', 'waitress', 'maya', 'waiting', 'for', 'a', 'chance', 'to', 'get', 'in', 'the', 'photo', 'business', 'when', 'maya', 'contact', 'their', 'friend', 'jurgis', 'he', 'schedule', 'a', 'meeting', 'for', 'leon', 'with', 'the', 'successful', 'owner', 'of', 'art', 'gallery', 'susan', 'hoff', 'she', 'analyzes', 'leon', 's', 'work', 'and', 'asks', 'him', 'to', 'improve', 'the', 'quality', 'of', 'his', 'photo', 'during', 'the', 'night', 'the', 'upset', 'leon', 'decides', 'to', 'wander', 'on', 'the', 'street', 'taking', 'picture', 'with', 'his', 'camera', 'and', 'he', 'follows', 'three', 'punk', 'down', 'to', 'the', 'subway', 'station', 'when', 'the', 'gang', 'attack', 'a', 'young', 'woman', 'leon', 'defends', 'her', 'and', 'the', 'guy', 'move', 'on', 'on', 'the', 'next', 'morning', 'leon', 'discovers', 'that', 'the', 'woman', 'is', 'missing', 'he', 'go', 'to', 'the', 'police', 'station', 'but', 'detective', 'lynn', 'hadley', 'doe', 'not', 'give', 'much', 'attention', 'to', 'him', 'and', 'discredit', 'his', 'statement', 'leon', 'becomes', 'obsessed', 'to', 'find', 'what', 'happened', 'with', 'the', 'stranger', 'and', 'he', 'watch', 'the', 'subway', 'station', 'when', 'he', 'see', 'the', 'elegant', 'butcher', 'mahogany', 'in', 'the', 'train', 'leon', 'belief', 'he', 'might', 'be', 'a', 'murderer', 'and', 'stalk', 'him', 'everywhere', 'in', 'the', 'beginning', 'of', 'his', 'journey', 'to', 'the', 'darkness']"
Winnie Mandela,15000000.0,2011-09-16,120640826.67822856,107.0,5.2,5,"['Elias', 'Koteas', 'Terrence', 'Howard', 'Jennifer', 'Hudson', 'Wendy', 'Crewson', 'Angelique', 'Pretorius']",Darrell James Roodt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'drama', 'that', 'chronicle', 'the', 'life', 'of', 'winnie', 'mandela', 'from', 'her', 'childhood', 'through', 'her', 'marriage', 'and', 'her', 'husband', 's', 'incarceration']"
The Son of No One,15000000.0,2011-11-04,120640826.67822856,90.0,4.8,92,"['Channing', 'Tatum', 'Al', 'Pacino', 'Juliette', 'Binoche', 'Katie', 'Holmes', 'James', 'Ransone']",Dito Montiel,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'rookie', 'cop', 'is', 'assigned', 'to', 'the', '118', 'precinct', 'in', 'the', 'same', 'district', 'where', 'he', 'grew', 'up', 'the', 'precinct', 'captain', 'start', 'receiving', 'letter', 'about', 'two', 'unsolved', 'murder', 'that', 'happened', 'many', 'year', 'ago', 'in', 'the', 'housing', 'project', 'when', 'the', 'rookie', 'cop', 'wa', 'just', 'a', 'kid', 'these', 'letter', 'bring', 'back', 'bad', 'memory', 'and', 'old', 'secret', 'that', 'begin', 'to', 'threaten', 'his', 'career', 'and', 'break', 'up', 'his', 'family']"
All The Queen's Men,15000000.0,2001-10-14,23000.0,99.0,6.1,7,"['Matt', 'LeBlanc', 'Eddie', 'Izzard', 'James', 'Cosmo', 'Nicolette', 'Krebitz', 'David', 'Tristan', 'Birkin']",Stefan Ruzowitzky,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"['a', 'mismatched', 'team', 'of', 'british', 'special', 'service', 'agent', 'led', 'by', 'an', 'american', 'must', 'infiltrate', 'in', 'disguise', 'a', 'female', 'run', 'enigma', 'factory', 'in', 'berlin', 'and', 'bring', 'back', 'the', 'decoding', 'device', 'that', 'will', 'end', 'the', 'war']"
The Good Night,15000000.0,2007-01-25,20380.0,93.0,5.7,41,"['Penuelope', 'Cruz', 'Martin', 'Freeman', 'Gwyneth', 'Paltrow', 'Simon', 'Pegg', 'Danny', 'DeVito']",Jake Paltrow,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"['gary', 'a', 'musician', 'is', 'trapped', 'in', 'an', 'unhappy', 'relationship', 'with', 'his', 'live', 'in', 'lover', 'dora', 'he', 'becomes', 'enthralled', 'with', 'a', 'beautiful', 'seductress', 'who', 'enters', 'his', 'dream', 'and', 'try', 'to', 'control', 'his', 'dream', 'state', 'so', 'he', 'can', 'spend', 'more', 'and', 'more', 'time', 'with', 'her', 'when', 'gary', 'see', 'his', 'mystery', 'woman', 's', 'face', 'on', 'a', 'bus', 'billboard', 'he', 'discovers', 'she', 'is', 'real', 'and', 'fate', 'brings', 'him', 'an', 'opportunity', 'to', 'meet', 'her']"
Bathory,38341022.03780454,2008-07-04,120640826.67822856,141.0,5.6,31,"['Anna', 'Friel', 'Karel', 'Roden', 'Hans', 'Matheson', 'Vincent', 'Regan', 'Franco', 'Nero']",Juraj Jakubisko,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['bathory', 'is', 'based', 'on', 'the', 'legend', 'surrounding', 'the', 'life', 'and', 'deed', 'of', 'countess', 'elizabeth', 'bathory', 'known', 'a', 'the', 'greatest', 'murderess', 'in', 'the', 'history', 'of', 'mankind', 'contrary', 'to', 'popular', 'belief', 'elizabeth', 'bathory', 'wa', 'a', 'modern', 'renaissance', 'woman', 'who', 'ultimately', 'fell', 'victim', 'to', 'men', 'aspiration', 'for', 'power', 'and', 'wealth']"
Khumba,20000000.0,2013-07-18,27187375.0,85.0,5.8,72,"['Jake', 'T', 'Austin', 'Liam', 'Neeson', 'Steve', 'Buscemi', 'AnnaSophia', 'Robb', 'Laurence', 'Fishburne']",Anthony Silverston,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['a', 'half', 'striped', 'zebra', 'is', 'blamed', 'for', 'the', 'drought', 'and', 'leaf', 'his', 'herd', 'in', 'search', 'of', 'his', 'missing', 'stripe', 'he', 'is', 'joined', 'on', 'his', 'quest', 'by', 'an', 'overprotective', 'wildebeest', 'and', 'a', 'flamboyant', 'ostrich', 'they', 'defeat', 'the', 'tyrannical', 'leopard', 'and', 'save', 'his', 'herd']"
Autómata,7000000.0,2014-10-09,120640826.67822856,110.0,5.6,670,"['Antonio', 'Banderas', 'Birgitte', 'Hjort', 'Sufrensen', 'Dylan', 'McDermott', 'Robert', 'Forster', 'Tim', 'McInnerny']",Gabe Ib\u00e1\u00f1ez,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jacq', 'vaucan', 'an', 'insurance', 'agent', 'of', 'roc', 'robotics', 'corporation', 'routinely', 'investigates', 'the', 'case', 'of', 'manipulating', 'a', 'robot', 'what', 'he', 'discovers', 'will', 'have', 'profound', 'consequence', 'for', 'the', 'future', 'of', 'humanity']"
Dungeons & Dragons: Wrath of the Dragon God,38341022.03780454,2005-01-01,120640826.67822856,105.0,4.8,36,"['Bruce', 'Payne', 'Mark', 'Dymond', 'Clemency', 'BurtonHill', 'Ellie', 'Chidzey', 'Tim', 'Stern']",Gerry Lively,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['due', 'to', 'a', 'curse', 'from', 'his', 'former', 'master', 'profion', 'damodar', 'survived', 'his', 'death', 'by', 'ridley', 'freeborn', 'a', 'an', 'undead', 'entity', 'in', 'pursuit', 'of', 'an', 'evil', 'artifact', 'for', 'some', 'hundred', 'year', 'so', 'that', 'he', 'might', 'be', 'capable', 'of', 'unleashing', 'unstoppable', 'destruction', 'on', 'izmir', 'and', 'the', 'descendant', 'of', 'those', 'who', 'caused', 'his', 'demise']"
Pandaemonium,38341022.03780454,2001-06-29,120640826.67822856,124.0,4.5,2,"['Linus', 'Roache', 'John', 'Hannah', 'Samantha', 'Morton', 'Emily', 'Woof', 'Andrea', 'Lowe']",Julien Temple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['set', 'in', 'england', 'during', 'the', 'early', '19th', 'century', 'pandaemonium', 'evokes', 'late', '1960s', 'america', 'in', 'it', 'depiction', 'of', 'the', 'relationship', 'between', 'samuel', 'taylor', 'coleridge', 'linus', 'roach', 'and', 'william', 'wordsworth', 'john', 'hannah', 'instead', 'of', 'going', 'to', 'vietnam', 'wordsworth', 'go', 'off', 'to', 'fight', 'against', 'the', 'french', 'while', 'coleridge', 'stay', 'at', 'home', 'and', 'promotes', 'utopianism', 'after', 'the', 'war', 'the', 'poet', 'live', 'and', 'work', 'together', 'with', 'coleridge', 's', 'wife', 'sara', 'samantha', 'morton', 'and', 'wordsworth', 's', 'sister', 'dorothy', 'emily', 'woof', 'at', 'first', 'this', 'communal', 'arrangement', 'work', 'to', 'the', 'advantage', 'of', 'coleridge', 'who', 'doe', 'some', 'of', 'his', 'best', 'writing', 'while', 'wordsworth', 'stagnates', 'until', 'coleridge', 'becomes', 'addicted', 'to', 'opium', 'wordsworth', 'meanwhile', 'doesn', 't', 'find', 'his', 'voice', 'until', 'he', 'abandon', 'his', 'friend', 'in', '20th', 'century', 'vernacular', 'wordsworth', 'is', 'the', 'yuppie', 'coleridge', 'the', 'hippie']"
Groundhog Day,14600000.0,1993-02-11,70906973.0,101.0,7.4,2301,"['Bill', 'Murray', 'Andie', 'MacDowell', 'Chris', 'Elliott', 'Stephen', 'Tobolowsky', 'Brian', 'DoyleMurray']",Harold Ramis,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"['a', 'narcissistic', 'tv', 'weatherman', 'along', 'with', 'his', 'attractive', 'but', 'distant', 'producer', 'and', 'mawkish', 'cameraman', 'is', 'sent', 'to', 'report', 'on', 'groundhog', 'day', 'in', 'the', 'small', 'town', 'of', 'punxsutawney', 'where', 'he', 'find', 'himself', 'repeating', 'the', 'same', 'day', 'over', 'and', 'over']"
Magic Mike XXL,14800000.0,2015-07-01,122513057.0,115.0,6.3,706,"['Channing', 'Tatum', 'Matt', 'Bomer', 'Joe', 'Manganiello', 'Kevin', 'Nash', 'Adam', 'Rodruedguez']",Gregory Jacobs,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"['three', 'year', 'after', 'mike', 'bowed', 'out', 'of', 'the', 'stripper', 'life', 'at', 'the', 'top', 'of', 'his', 'game', 'he', 'and', 'the', 'remaining', 'king', 'of', 'tampa', 'hit', 'the', 'road', 'to', 'myrtle', 'beach', 'to', 'put', 'on', 'one', 'last', 'blow', 'out', 'performance']"
Romeo + Juliet,14500000.0,1996-10-31,147298761.0,120.0,6.7,1374,"['Leonardo', 'DiCaprio', 'Claire', 'Danes', 'John', 'Leguizamo', 'Harold', 'Perrineau', 'Pete', 'Postlethwaite']",Baz Luhrmann,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['in', 'director', 'baz', 'luhrmann', 's', 'contemporary', 'take', 'on', 'william', 'shakespeare', 's', 'classic', 'tragedy', 'the', 'montagues', 'and', 'capulets', 'have', 'moved', 'their', 'ongoing', 'feud', 'to', 'the', 'sweltering', 'suburb', 'of', 'verona', 'beach', 'where', 'romeo', 'and', 'juliet', 'fall', 'in', 'love', 'and', 'secretly', 'wed', 'though', 'the', 'film', 'is', 'visually', 'modern', 'the', 'bard', 's', 'dialogue', 'remains']"
Freedom,14500000.0,2014-08-21,120640826.67822856,98.0,5.8,9,"['Cuba', 'Gooding', 'Jr', 'William', 'Sadler', 'Sharon', 'Leal', 'David', 'Rasche', 'Diane', 'Salinger']",Peter Cousens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'men', 'separated', 'by', '100', 'year', 'are', 'united', 'in', 'their', 'search', 'for', 'freedom', 'in', '1856', 'a', 'slave', 'samuel', 'woodward', 'and', 'his', 'family', 'escape', 'from', 'the', 'monroe', 'plantation', 'near', 'richmond', 'virginia', 'a', 'secret', 'network', 'of', 'ordinary', 'people', 'known', 'a', 'the', 'underground', 'railroad', 'guide', 'the', 'family', 'on', 'their', 'journey', 'north', 'to', 'canada', 'they', 'are', 'relentlessly', 'pursued', 'by', 'the', 'notorious', 'slave', 'hunter', 'plimpton', 'hunted', 'like', 'a', 'dog', 'and', 'haunted', 'by', 'the', 'unthinkable', 'suffering', 'he', 'and', 'his', 'forbear', 'have', 'endured', 'samuel', 'is', 'forced', 'to', 'decide', 'between', 'revenge', 'or', 'freedom', '100', 'year', 'earlier', 'in', '1748', 'john', 'newton', 'the', 'captain', 'of', 'a', 'slave', 'trader', 'sail', 'from', 'africa', 'with', 'a', 'cargo', 'of', 'slave', 'bound', 'for', 'america', 'on', 'board', 'is', 'samuel', 's', 'great', 'grandfather', 'whose', 'survival', 'is', 'tied', 'to', 'the', 'fate', 'of', 'captain', 'newton', 'the', 'voyage', 'change', 'newton', 's', 'life', 'forever', 'and', 'he', 'creates', 'a', 'legacy', 'that', 'will', 'inspire', 'samuel', 'and', 'the', 'life', 'of', 'million', 'for', 'generation', 'to', 'come']"
Unforgiven,14000000.0,1992-08-07,159157447.0,131.0,7.7,1113,"['Clint', 'Eastwood', 'Gene', 'Hackman', 'Morgan', 'Freeman', 'Richard', 'Harris', 'Jaimz', 'Woolvett']",Clint Eastwood,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['william', 'munny', 'is', 'a', 'retired', 'once', 'ruthless', 'killer', 'turned', 'gentle', 'widower', 'and', 'hog', 'farmer', 'to', 'help', 'support', 'his', 'two', 'motherless', 'child', 'he', 'accepts', 'one', 'last', 'bounty', 'hunter', 'mission', 'to', 'find', 'the', 'men', 'who', 'brutalized', 'a', 'prostitute', 'joined', 'by', 'his', 'former', 'partner', 'and', 'a', 'cocky', 'greenhorn', 'he', 'take', 'on', 'a', 'corrupt', 'sheriff']"
Slumdog Millionaire,15000000.0,2008-05-12,377910544.0,120.0,7.6,2827,"['Dev', 'Patel', 'Freida', 'Pinto', 'Anil', 'Kapoor', 'Mia', 'Drake', 'Inderbitzin', 'Saurabh', 'Shukla']",Danny Boyle,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['jamal', 'malik', 'is', 'an', 'impoverished', 'indian', 'teen', 'who', 'becomes', 'a', 'contestant', 'on', 'the', 'hindi', 'version', 'of', 'who', 'want', 'to', 'be', 'a', 'millionaire', 'but', 'after', 'he', 'win', 'he', 'is', 'suspected', 'of', 'cheating']"
Fatal Attraction,14000000.0,1987-09-11,320145693.0,119.0,6.6,291,"['Michael', 'Douglas', 'Glenn', 'Close', 'Anne', 'Archer', 'Ellen', 'Hamilton', 'Latzen', 'Jane', 'Krakowski']",Adrian Lyne,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"['a', 'married', 'man', 's', 'one', 'night', 'stand', 'come', 'back', 'to', 'haunt', 'him', 'when', 'that', 'lover', 'begin', 'to', 'stalk', 'him', 'and', 'his', 'family']"
Pretty Woman,14000000.0,1990-03-23,463000000.0,119.0,7.0,1746,"['Julia', 'Roberts', 'Richard', 'Gere', 'Ralph', 'Bellamy', 'Jason', 'Alexander', 'Huector', 'Elizondo']",Garry Marshall,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"['when', 'millionaire', 'wheeler', 'dealer', 'edward', 'lewis', 'enters', 'a', 'business', 'contract', 'with', 'hollywood', 'hooker', 'vivian', 'ward', 'he', 'loses', 'his', 'heart', 'in', 'the', 'bargain', 'in', 'this', 'charming', 'romantic', 'comedy', 'after', 'edward', 'hire', 'vivian', 'a', 'his', 'date', 'for', 'a', 'week', 'and', 'give', 'her', 'a', 'cinderella', 'makeover', 'she', 'return', 'the', 'favor', 'by', 'mellowing', 'the', 'hardnosed', 'tycoon', 's', 'outlook', 'can', 'the', 'poor', 'prostitute', 'and', 'the', 'rich', 'capitalist', 'live', 'happily', 'ever', 'after']"
Crocodile Dundee II,38341022.03780454,1988-05-19,239606210.0,110.0,5.5,303,"['Paul', 'Hogan', 'Linda', 'Kozlowski', 'John', 'Meillon', 'Ernie', 'Dingo', 'Charles', 'S', 'Dutton']",John Cornell,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['australian', 'outback', 'expert', 'protects', 'his', 'new', 'york', 'love', 'from', 'gangster', 'who', 've', 'followed', 'her', 'down', 'under']"
Broken Horses,38341022.03780454,2015-03-15,120640826.67822856,101.0,5.0,10,"['Marueda', 'Valverde', 'Vincent', 'DOnofrio', 'Thomas', 'Jane', 'Anton', 'Yelchin', 'Sean', 'Patrick', 'Flanery']",Vidhu Vinod Chopra,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"['the', 'bond', 'of', 'brotherhood', 'the', 'law', 'of', 'loyalty', 'and', 'the', 'futility', 'of', 'violence', 'in', 'the', 'shadow', 'of', 'the', 'u', 'mexico', 'border', 'gang', 'war']"
Born on the Fourth of July,14000000.0,1989-12-20,161001698.0,145.0,6.7,395,"['Tom', 'Cruise', 'Raymond', 'J', 'Barry', 'Caroline', 'Kava', 'Holly', 'Marie', 'Combs', 'Kyra', 'Sedgwick']",Oliver Stone,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['the', 'biography', 'of', 'ron', 'kovic', 'paralyzed', 'in', 'the', 'vietnam', 'war', 'he', 'becomes', 'an', 'anti', 'war', 'and', 'pro', 'human', 'right', 'political', 'activist', 'after', 'feeling', 'betrayed', 'by', 'the', 'country', 'he', 'fought', 'for']"
Cool Runnings,14000000.0,1993-09-30,154864401.0,98.0,6.8,491,"['Leon', 'Robinson', 'Doug', 'E', 'Doug', 'Rawle', 'D', 'Lewis', 'Malik', 'Yoba', 'John', 'Candy']",Jon Turteltaub,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['when', 'a', 'jamaican', 'sprinter', 'is', 'disqualified', 'from', 'the', 'olympic', 'game', 'he', 'enlists', 'the', 'help', 'of', 'a', 'dishonored', 'coach', 'to', 'start', 'the', 'first', 'jamaican', 'bobsled', 'team']"
My Bloody Valentine,15000000.0,2009-01-16,100734718.0,101.0,5.3,299,"['Jensen', 'Ackles', 'Jaime', 'King', 'Kerr', 'Smith', 'Betsy', 'Rue', 'Edi', 'Gathegi']",Patrick Lussier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"['ten', 'year', 'ago', 'a', 'tragedy', 'changed', 'the', 'town', 'of', 'harmony', 'forever', 'tom', 'hanniger', 'an', 'inexperienced', 'coal', 'miner', 'caused', 'an', 'accident', 'in', 'the', 'tunnel', 'that', 'trapped', 'and', 'killed', 'five', 'men', 'and', 'sent', 'the', 'only', 'survivor', 'harry', 'warden', 'into', 'a', 'permanent', 'coma', 'but', 'harry', 'warden', 'wanted', 'revenge', 'exactly', 'one', 'year', 'later', 'on', 'valentine', 's', 'day', 'he', 'woke', 'up', 'and', 'brutally', 'murdered', 'twenty', 'two', 'people', 'with', 'a', 'pickaxe', 'before', 'being', 'killed']"
Stomp the Yard,13000000.0,2007-05-16,75511123.0,114.0,6.1,88,"['Columbus', 'Short', 'Meagan', 'Good', 'NeYo', 'Darrin', 'Henson', 'Jermaine', 'Williams']",Sylvain White,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['after', 'the', 'death', 'of', 'his', 'younger', 'brother', 'a', 'troubled', '19', 'year', 'old', 'street', 'dancer', 'from', 'los', 'angeles', 'is', 'able', 'to', 'bypass', 'juvenile', 'hall', 'by', 'enrolling', 'in', 'the', 'historically', 'black', 'truth', 'university', 'in', 'atlanta', 'georgia', 'but', 'his', 'effort', 'to', 'get', 'an', 'education', 'and', 'woo', 'the', 'girl', 'he', 'like', 'are', 'sidelined', 'when', 'he', 'is', 'courted', 'by', 'the', 'top', 'two', 'campus', 'fraternity', 'both', 'of', 'which', 'want', 'and', 'need', 'his', 'fierce', 'street', 'style', 'dance', 'move', 'to', 'win', 'the', 'highly', 'coveted', 'national', 'step', 'show', 'competition']"
The Spy Who Loved Me,14000000.0,1977-07-07,185438673.0,125.0,6.6,507,"['Roger', 'Moore', 'Barbara', 'Bach', 'Curd', 'Jufcrgens', 'Richard', 'Kiel', 'Caroline', 'Munro']",Lewis Gilbert,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['russian', 'and', 'british', 'submarine', 'with', 'nuclear', 'missile', 'on', 'board', 'both', 'vanish', 'from', 'sight', 'without', 'a', 'trace', 'england', 'and', 'russia', 'both', 'blame', 'each', 'other', 'a', 'james', 'bond', 'try', 'to', 'solve', 'the', 'riddle', 'of', 'the', 'disappearing', 'ship', 'but', 'the', 'kgb', 'also', 'ha', 'an', 'agent', 'on', 'the', 'case']"
Urban Legend,14000000.0,1998-09-25,72527595.0,99.0,5.6,290,"['Alicia', 'Witt', 'Jared', 'Leto', 'Rebecca', 'Gayheart', 'Michael', 'Rosenbaum', 'Loretta', 'Devine']",Jamie Blanks,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"['there', 's', 'a', 'campus', 'killer', 'on', 'the', 'loose', 'who', 's', 'making', 'urban', 'legend', 'like', 'the', 'one', 'about', 'eating', 'pop', 'rock', 'and', 'soda', 'at', 'the', 'same', 'time', 'will', 'make', 'your', 'stomach', 'explode', 'and', 'the', 'one', 'about', 'a', 'psycho', 'with', 'an', 'axe', 'stepping', 'into', 'the', 'backseat', 'of', 'your', 'car', 'at', 'the', 'gas', 'station', 'when', 'not', 'looking', 'into', 'reality']"
